property-title,rating,price,link,location,latitude,longitude
Hotel Regent Marine The Blue,Scored 8.4 8.4,,https://www.booking.com/hotel/kr/regentmarine-the-blue.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Ramada by Wyndham Jeju City Hall,Scored 8.1 8.1,,https://www.booking.com/hotel/kr/ramada-jeju-city-hall.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Yaho Beach House,Scored 9.0 9.0,,https://www.booking.com/hotel/kr/hamdeoghaebyeon-coegoyi-jeonmang-yahobicihauseu-direogseu-deobeul-jeongaegsil-ba.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jocheon, Jeju",,
Ocean Suites Jeju Hotel,Scored 8.1 8.1,,https://www.booking.com/hotel/kr/ocean-suites-jeju-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Ventimo Hotel & Residence Jeju,Scored 8.9 8.9,,https://www.booking.com/hotel/kr/bentimo-aen-rejideonseu-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Hotel Whistlelark Jeju,Scored 7.7 7.7,,https://www.booking.com/hotel/kr/whistle.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
BeachBoys - Retro Caravan AirStream,Scored 8.6 8.6,,https://www.booking.com/hotel/kr/reteuro-gamseongkaraban-eeoseuteurim-biciboiseu-boy21.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Aewol, Jeju",,
Hotel White House,Scored 7.9 7.9,,https://www.booking.com/hotel/kr/white-house.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
MJ Resort,Scored 9.6 9.6,,https://www.booking.com/hotel/kr/mj-resort.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Gujwa, Jeju",,
Elin Hotel,Scored 8.5 8.5,,https://www.booking.com/hotel/kr/elin.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
