Place Name,Longitude,Latitude,Phone,Average Rating,Average Price
판포리아,126.19843237206571,33.3655658431257,0503-7151-7390,,12800.0
페쪼,126.193144038959,33.3625193778926,010-2238-4080,4.666666666666667,20500.0
테리아줄,126.19828890664013,33.36550991974112,064-746-7796,5.0,31000.0
타바코,126.19819087541659,33.36483489815135,010-6775-5067,5.0,4780.0
버거다이브,126.21608525888128,33.378209758778674,010-8631-9745,5.0,13094.736842105263
피어22,126.22776937829279,33.3899089881431,064-796-7787,3.0,22583.333333333332
파라토도스,126.232305971897,33.3892979084199,064-796-4331,4.666666666666667,25666.666666666668
협재화덕 도나토스 DONATO'S,126.24033399925163,33.392560572300766,0507-1401-1981,,14200.0
둘레길 협재금능점,126.231381042184,33.389248005565,0507-1310-1641,5.0,17900.0
수선화식당,126.243175342266,33.3971985741357,,,20571.428571428572
비양버거,126.230255110928,33.3885909819748,0507-1356-9826,5.0,10700.0
재미제주,126.17298868866243,33.3328849530745,0507-1333-0512,,15562.5
버거307 협재점,126.24017226985208,33.392989639883425,0503-7150-0355,5.0,10620.0
킴스버거앤치킨,126.2400667556163,33.39338118476245,064-796-4944,4.333333333333333,15920.0
옹포83,126.25498535894137,33.40469282105942,,3.3333333333333335,8700.0
잇마이피자 제대점,126.55833820079728,33.45058895817569,,3.6666666666666665,14722.222222222223
봉수아피자 제주아라점,126.55938074235574,33.44818178553991,064-904-1355,5.0,23100.0
이브로파스타,126.576252768678,33.4706399554905,064-751-5464,5.0,11600.0
그란데,126.5474649538035,33.47492537489638,064-758-4091,,23500.0
루스트플레이스 아라점,126.545066365828,33.4739987689219,064-724-9008,4.333333333333333,9900.0
경양식탁,126.54837427875285,33.47073175588395,0507-1337-9082,,12333.333333333334
농부파스타집,126.55016192702921,33.47204196629232,064-725-7990,5.0,36111.11111111111
데스띠노,126.549702597704,33.4761939567892,,4.666666666666667,18400.0
이재모피자 제주점,126.543506622842,33.4850357835865,064-755-1478,3.6666666666666665,25500.0
아우스,126.546868182944,33.4723833955938,064-722-0287,,22375.0
스니프,126.545745292827,33.4750146538532,010-2614-9385,,16333.333333333334
핏제리아필리아,126.54410159397843,33.47456773824671,064-727-5479,5.0,15842.105263157895
모어댄댓,126.547483400866,33.4759298211845,0507-1351-8616,3.3333333333333335,18000.0
그랜마스 아라직영점,126.544698734134,33.4747637764513,064-805-9588,5.0,9875.0
큰담밭 브런치카페,126.53377318687227,33.470217884238885,010-8993-2717,5.0,12000.0
우도엔젤,126.964692272566,33.5128258467674,,,
하하호호 우도본점,126.94847055953139,33.52082638555345,010-2899-1365,5.0,6825.0
더블핸스테이크 제주우도점,126.96774173709,33.4976761315811,064-782-0465,,
꼬마해녀의집,126.957291142754,33.5134925052192,010-3672-5284,5.0,17000.0
우도아름다운소풍,126.949476168253,33.5148762287529,064-782-8292,5.0,29500.0
피넛아일랜드,126.95303347266902,33.495005384112154,064-805-9654,3.3333333333333335,9566.666666666666
피노키오,126.94829743145,33.5205305881994,,3.0,7200.0
우도꽃길,126.95075478017,33.5226350249631,,3.6666666666666665,14000.0
말차이트,126.954959043383,33.4941901463702,064-766-6010,,28000.0
꽃담수제버거,126.93607071345474,33.462977212240034,064-782-0761,4.666666666666667,12340.0
윌라라 WORLD CLASS FISH&CHIPS,126.93291898587522,33.462854731261444,0507-1404-5120,3.6666666666666665,18020.0
이스트포레스트,126.89875920358224,33.49587903984645,064-784-3789,1.0,27307.69230769231
시안,126.93584314127843,33.46524915041939,010-7477-2295,4.333333333333333,14166.666666666666
파파야,126.933378078634,33.4645662335777,010-5236-9000,3.6666666666666665,15500.0
하도핑크,126.88342136348828,33.52236365235448,070-8801-5650,5.0,18000.0
